2019-12-25 01:18:10.704 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 01:18:11.704 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 01:18:12.704 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 01:18:13.704 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-25 01:18:14.704 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-25 01:19:14.654 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-25 01:19:14.654 [Nukkit Asynchronous Task Handler #2] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-25 01:19:14.657 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-25 01:23:09.703 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 01:23:10.703 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 01:23:11.703 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 01:23:12.703 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 01:23:13.703 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-25 01:23:14.704 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-25 01:25:14.654 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-25 01:25:14.654 [Nukkit Asynchronous Task Handler #2] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-25 01:25:14.658 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-25 01:28:09.703 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 01:28:10.704 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 01:28:11.704 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 01:28:12.704 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-25 01:28:13.704 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-25 01:28:14.704 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-25 01:31:14.654 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-25 01:31:14.654 [Nukkit Asynchronous Task Handler #3] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-25 01:31:14.657 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
